Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000132,Male,No,1,Graduate,Yes,13584,8438,99688,120,1.0,Rural,Y
LP000133,Male,Yes,0,Graduate,No,50184,14675,52473,120,0.0,Rural,N
LP000134,Male,Yes,0,Not Graduate,No,25707,1681,153235,300,1.0,Rural,N
LP000135,Female,Yes,1,Not Graduate,No,40226,5299,136061,60,1.0,Urban,N
LP000136,Male,Yes,0,Graduate,No,14141,9394,108203,12,1.0,Semiurban,N
LP000137,Male,Yes,2,Graduate,Yes,10590,18770,75753,300,1.0,Rural,N
LP000138,Female,Yes,1,Graduate,No,43946,5742,108004,120,1.0,Semiurban,Y
LP000139,Male,Yes,1,Not Graduate,No,33719,2178,56758,300,1.0,Semiurban,Y
LP000140,Female,Yes,1,Not Graduate,No,15658,12503,123967,120,1.0,Semiurban,N
LP000141,Female,Yes,2,Graduate,No,15965,5193,184377,240,1.0,Semiurban,N
LP000142,Male,Yes,0,Not Graduate,No,52852,3523,138040,120,1.0,Urban,N
LP000143,Male,Yes,1,Graduate,No,13178,5234,56117,180,1.0,Semiurban,Y
LP000144,Male,Yes,1,Graduate,No,72085,7121,96829,300,0.0,Urban,N
LP000145,Male,Yes,0,Graduate,No,15671,5306,42337,120,1.0,Semiurban,Y
LP000146,Male,No,2,Not Graduate,No,39459,1730,107602,60,0.0,Urban,N
LP000147,Male,Yes,2,Graduate,No,22088,15183,101245,60,1.0,Semiurban,N
LP000148,Male,Yes,1,Not Graduate,No,38634,19779,31732,60,1.0,Urban,N
LP000149,Male,No,2,Not Graduate,No,19409,12785,45211,60,1.0,Semiurban,Y
LP000150,Male,Yes,2,Graduate,No,24399,3654,70152,84,1.0,Rural,N
LP000151,Female,Yes,2,Graduate,No,27571,7037,69533,120,1.0,Urban,N
LP000152,Male,Yes,2,Graduate,No,14745,8066,44146,120,1.0,Urban,N
LP000153,Male,Yes,1,Graduate,No,41960,12322,98173,120,1.0,Urban,Y
LP000154,Male,No,1,Graduate,No,19772,12936,91650,180,1.0,Rural,Y
LP000155,Female,Yes,1,Graduate,Yes,23455,4846,73340,36,1.0,Semiurban,N
LP000156,Male,Yes,2,Not Graduate,No,14814,8581,55387,36,1.0,Semiurban,Y
LP000157,Female,Yes,0,Graduate,Yes,5782,11160,136537,60,1.0,Urban,N
LP000158,Female,Yes,2,Graduate,No,23989,22450,184924,120,1.0,Semiurban,N
LP000159,Male,Yes,2,Graduate,No,114412,13268,63463,60,1.0,Rural,Y
LP000160,Female,Yes,0,Graduate,No,43077,14077,59511,60,1.0,Rural,N
LP000161,Male,Yes,2,Graduate,No,26594,8592,103321,120,1.0,Semiurban,Y
LP000162,Male,No,0,Graduate,No,22977,21748,67574,240,1.0,Urban,Y
LP000163,Male,Yes,0,Not Graduate,No,27268,10794,75380,12,1.0,Urban,N
LP000164,Male,Yes,2,Graduate,No,37356,4434,116987,180,1.0,Urban,N
LP000165,Male,Yes,0,Not Graduate,No,13246,21641,31111,180,1.0,Urban,Y
LP000166,Female,Yes,2,Not Graduate,No,52501,13207,156240,240,1.0,Urban,Y
LP000167,Male,Yes,2,Graduate,No,41325,5942,83812,300,1.0,Urban,N
LP000168,Male,Yes,1,Not Graduate,Yes,41394,5792,65791,12,1.0,Urban,Y
LP000169,Male,Yes,0,Graduate,No,34999,9972,77294,60,1.0,Rural,N
LP000170,Male,Yes,0,Not Graduate,No,27221,11206,79317,300,0.0,Semiurban,Y
LP000171,Female,Yes,1,Graduate,No,40284,9303,34009,120,1.0,Rural,Y
LP000172,Male,No,3+,Not Graduate,Yes,38372,10076,170666,120,1.0,Semiurban,N
LP000173,Male,Yes,1,Not Graduate,No,21754,26634,82509,180,1.0,Urban,N
LP000174,Male,Yes,0,Not Graduate,No,19069,17155,100861,180,1.0,Semiurban,N
LP000175,Male,Yes,1,Not Graduate,No,28598,9259,130063,300,1.0,Urban,Y
LP000176,Male,No,1,Graduate,No,68146,15660,48504,360,1.0,Semiurban,Y
LP000177,Female,Yes,2,Graduate,No,12791,3933,102409,180,1.0,Urban,N
LP000178,Male,Yes,0,Graduate,No,11153,10705,70698,60,1.0,Rural,N
LP000179,Female,No,2,Graduate,No,29698,28753,123424,300,1.0,Urban,N
LP000180,Male,No,1,Graduate,No,27737,6956,27900,12,1.0,Urban,N
LP000181,Male,No,3+,Graduate,No,29851,4476,76914,60,1.0,Rural,N
LP000182,Male,Yes,0,Not Graduate,No,31143,5133,59789,300,0.0,Urban,Y
LP000183,Female,Yes,1,Graduate,Yes,23531,3779,100321,60,1.0,Semiurban,N
LP000184,Female,Yes,3+,Not Graduate,No,65769,4678,102234,60,1.0,Semiurban,N
LP000185,Male,No,0,Graduate,No,10295,6251,56737,36,1.0,Rural,N
LP000186,Female,Yes,3+,Not Graduate,No,16365,3029,56608,300,0.0,Rural,N
LP000187,Female,Yes,1,Not Graduate,No,25287,8192,76471,120,1.0,Rural,Y
LP000188,Male,Yes,0,Graduate,No,10037,15238,51620,180,1.0,Urban,N
LP000189,Male,No,0,Graduate,No,24209,4292,123129,60,1.0,Rural,N
LP000190,Male,Yes,2,Not Graduate,No,72902,23470,67197,240,0.0,Semiurban,N
LP000191,Male,Yes,0,Graduate,No,27242,11586,18892,240,1.0,Semiurban,Y
LP000192,Female,Yes,1,Graduate,No,30897,16670,67009,84,1.0,Urban,N
LP000193,Female,Yes,0,Graduate,No,12630,5112,48085,120,,Semiurban,N
LP000194,Male,Yes,1,Graduate,No,18586,14737,35752,60,1.0,Rural,N
LP000195,Male,Yes,0,Graduate,Yes,21480,3773,43533,360,1.0,Rural,N
LP000196,Male,Yes,2,Graduate,No,22233,15110,85366,180,1.0,Semiurban,N
LP000197,Female,Yes,3+,Graduate,No,58045,9138,157050,300,0.0,Urban,N
LP000198,Female,Yes,3+,Graduate,No,37594,11935,94522,84,0.0,Urban,Y
LP000199,Female,Yes,2,Not Graduate,No,13809,3558,59679,240,1.0,Rural,N
LP000200,Female,Yes,0,Graduate,No,31191,4330,101514,240,1.0,Semiurban,N
LP000201,Male,Yes,2,Not Graduate,No,36276,12308,64244,180,1.0,Semiurban,N
LP000202,Male,Yes,0,Graduate,Yes,53321,4172,57108,360,1.0,Urban,N
LP000203,Male,Yes,0,Graduate,No,69447,11206,45379,84,1.0,Semiurban,Y
LP000204,Female,Yes,0,Graduate,Yes,14631,3111,33660,36,0.0,Semiurban,Y
LP000205,Male,Yes,1,Graduate,No,16539,14672,66505,180,1.0,Rural,Y
LP000206,Male,No,2,Graduate,No,12650,3419,87467,180,0.0,Semiurban,N
LP000207,Male,Yes,1,Graduate,No,23378,11927,77009,120,0.0,Urban,N
LP000208,Female,No,1,Graduate,No,35589,12555,65644,60,,Semiurban,Y
LP000209,Male,Yes,0,Graduate,No,48649,4975,50368,120,1.0,Urban,N
LP000210,Male,Yes,3+,Graduate,No,25704,12178,109548,84,0.0,Rural,N
LP000211,Male,No,1,Graduate,No,22205,9723,41832,120,0.0,Urban,N
LP000212,Female,Yes,1,Graduate,No,29467,5556,119135,180,1.0,Semiurban,Y
LP000213,Female,Yes,0,Not Graduate,Yes,16299,3999,48966,180,1.0,Urban,N
LP000214,Male,Yes,2,Graduate,No,94251,2051,55480,60,1.0,Semiurban,Y
LP000215,Female,Yes,1,Graduate,No,10253,10350,38816,120,1.0,Semiurban,N
LP000216,Male,No,0,Not Graduate,No,30056,2709,62899,60,0.0,Semiurban,Y
LP000217,Male,No,0,Graduate,No,90595,8662,131617,60,1.0,Urban,N
LP000218,Female,No,1,Graduate,No,27013,6738,104591,240,1.0,Urban,Y
LP000219,Male,Yes,1,Not Graduate,No,24004,13035,131822,300,1.0,Urban,N
LP000220,Female,No,0,Graduate,Yes,21710,6558,104932,84,1.0,Semiurban,Y
LP000221,Female,No,3+,Graduate,No,24143,6434,46544,240,1.0,Urban,N
LP000222,Male,Yes,0,Graduate,No,61310,13525,68501,300,0.0,Semiurban,N
LP000223,Male,Yes,1,Graduate,Yes,7135,10244,54715,240,1.0,Rural,N
LP000224,Male,No,3+,Graduate,No,67511,10110,157202,60,0.0,Rural,N
LP000225,Male,Yes,1,Graduate,Yes,11448,11254,44427,360,1.0,Semiurban,N
LP000226,Male,No,1,Graduate,No,22925,2765,126354,84,1.0,Semiurban,Y
LP000227,Female,Yes,0,Graduate,No,20794,13763,126307,84,1.0,Urban,Y
LP000228,Male,No,0,Not Graduate,No,38297,12440,201755,36,1.0,Semiurban,N
LP000229,Female,Yes,3+,Not Graduate,No,10312,3977,65851,120,1.0,Rural,Y
LP000230,Male,Yes,1,Graduate,No,35500,6830,115400,36,1.0,Urban,Y
LP000231,Female,Yes,2,Graduate,No,90634,7883,252919,60,1.0,Semiurban,N
LP000232,Male,No,0,Graduate,Yes,11873,7375,59348,84,1.0,Rural,Y
LP000233,Male,Yes,0,Graduate,No,30146,10236,37514,240,1.0,Rural,Y
LP000234,Male,Yes,0,Graduate,No,18084,22069,31571,300,1.0,Urban,Y
LP000235,Male,Yes,1,Graduate,No,34736,17278,115422,84,1.0,Semiurban,N
LP000236,Female,No,0,Not Graduate,No,27214,3233,31521,300,1.0,Urban,Y
LP000237,Male,Yes,2,Graduate,No,18308,12524,67093,300,1.0,Urban,N
LP000238,Male,No,1,Graduate,No,36052,20542,100574,240,1.0,Rural,N
LP000239,Male,Yes,3+,Graduate,Yes,79428,10622,88662,36,0.0,Rural,N
LP000240,Male,Yes,0,Graduate,No,23991,17390,99979,180,1.0,Rural,Y
LP000241,Female,Yes,2,Not Graduate,No,41433,33143,90322,300,1.0,Urban,Y
LP000242,Female,Yes,2,Graduate,Yes,12382,16590,153189,180,1.0,Rural,Y
LP000243,Female,No,2,Not Graduate,No,15155,9648,50203,84,1.0,Semiurban,N
LP000244,Male,Yes,2,Graduate,No,35719,16840,57612,120,1.0,Urban,N
LP000245,Male,Yes,2,Graduate,No,65543,8968,54922,180,1.0,Semiurban,N
LP000246,Female,No,1,Graduate,No,33301,8239,122405,120,1.0,Urban,N
LP000247,Male,Yes,0,Graduate,Yes,22296,6336,126778,36,1.0,Rural,N
LP000248,Female,Yes,0,Graduate,No,26891,24206,101276,84,1.0,Semiurban,Y
LP000249,Female,No,3+,Not Graduate,No,12705,4569,146056,240,0.0,Urban,N
LP000250,Female,Yes,1,Graduate,Yes,38665,23686,44845,300,0.0,Urban,N
LP000251,Male,Yes,2,Graduate,Yes,45679,11497,186020,36,1.0,Urban,N
LP000252,Male,No,1,Graduate,No,20511,3042,173099,360,1.0,Urban,N
LP000253,Female,Yes,0,Graduate,No,20291,10481,116752,84,1.0,Semiurban,N
LP000254,Male,Yes,0,Graduate,No,31556,1863,196988,180,0.0,Rural,Y
LP000255,Male,Yes,1,Not Graduate,No,20701,12554,35301,240,1.0,Urban,N
LP000256,Male,No,1,Not Graduate,No,25856,15057,62179,240,1.0,Urban,Y
LP000257,Female,Yes,0,Not Graduate,No,94829,5352,55957,300,1.0,Semiurban,N
LP000258,Female,Yes,1,Graduate,No,23197,8835,115929,84,0.0,Rural,N
LP000259,Male,No,0,Graduate,No,21698,31821,47807,300,1.0,Urban,N
LP000260,Male,No,1,Graduate,No,18241,5687,118036,36,1.0,Urban,Y
LP000261,Male,Yes,0,Graduate,No,42045,3861,160374,180,1.0,Semiurban,Y
LP000262,Female,Yes,2,Not Graduate,No,24131,22860,114416,180,1.0,Urban,N
LP000263,Male,Yes,0,Graduate,No,18221,32010,93141,180,1.0,Urban,N
LP000264,Male,No,1,Graduate,No,59443,8124,49318,60,1.0,Semiurban,N
LP000265,Female,Yes,0,Graduate,No,63054,16449,52922,300,1.0,Semiurban,N
LP000266,Female,Yes,0,Graduate,No,18764,20723,150965,60,0.0,Semiurban,Y
LP000267,Female,No,0,Graduate,No,8778,4818,119333,36,1.0,Semiurban,N
LP000268,Female,No,1,Graduate,No,49242,5769,79260,180,1.0,Semiurban,N
LP000269,Male,Yes,1,Graduate,No,17840,19179,65581,120,1.0,Urban,N
LP000270,Male,No,0,Graduate,No,43233,26357,29351,240,1.0,Urban,Y
LP000271,Female,Yes,1,Graduate,Yes,8249,12016,47314,84,1.0,Urban,N
LP000272,Female,No,2,Not Graduate,No,45961,4377,210177,60,1.0,Urban,N
LP000273,Female,Yes,2,Not Graduate,No,13007,32563,42606,240,1.0,Semiurban,Y
LP000274,Female,Yes,0,Not Graduate,No,41708,5587,88853,120,1.0,Rural,Y
LP000275,Male,No,1,Not Graduate,No,27134,6408,133749,60,1.0,Rural,N
LP000276,Male,Yes,0,Graduate,No,15178,10297,43154,180,1.0,Semiurban,Y
LP000277,Female,Yes,0,Graduate,No,21073,24050,88641,120,1.0,Urban,N
LP000278,Male,No,3+,Graduate,No,40610,14732,129179,180,0.0,Urban,N
LP000279,Female,No,0,Graduate,No,28667,10833,81328,120,1.0,Rural,N
LP000280,Female,Yes,1,Not Graduate,Yes,38202,11207,339151,240,1.0,Semiurban,N
LP000281,Female,Yes,1,Graduate,No,88067,8353,35091,240,0.0,Semiurban,N
LP000282,Male,Yes,2,Not Graduate,No,10524,11976,137223,180,1.0,Rural,N
LP000283,Male,Yes,1,Graduate,No,70992,1379,74131,36,1.0,Semiurban,N
LP000284,Male,Yes,0,Graduate,Yes,28641,6583,118890,240,0.0,Rural,Y
LP000285,Male,Yes,0,Graduate,Yes,15689,9594,100775,180,1.0,Urban,N
LP000286,Male,No,1,Not Graduate,No,12110,3620,56017,180,1.0,Semiurban,N
LP000287,Male,Yes,0,Graduate,No,24017,10619,90626,84,1.0,Rural,N
LP000288,Male,Yes,0,Graduate,No,46769,7022,31921,300,1.0,Urban,Y
LP000289,Male,Yes,0,Graduate,No,24921,27690,109275,180,0.0,Semiurban,N
LP000290,Male,No,0,Graduate,No,66615,24370,93814,36,0.0,Urban,Y
LP000291,Male,Yes,0,Graduate,No,11263,5848,111227,120,1.0,Rural,N
LP000292,Male,Yes,0,Graduate,No,26708,7291,137181,300,1.0,Urban,N
LP000293,Female,Yes,1,Graduate,No,12689,7694,97130,12,1.0,Semiurban,N
LP000294,Male,Yes,1,Graduate,No,33462,5906,87033,360,0.0,Urban,N
LP000295,Male,Yes,2,Graduate,Yes,45804,9288,52024,180,1.0,Semiurban,N
LP000296,Male,No,0,Graduate,Yes,20900,4765,56607,180,1.0,Urban,N
LP000297,Female,No,0,Graduate,No,5639,3672,146293,60,1.0,Urban,N
LP000298,Male,Yes,0,Graduate,Yes,30314,12530,165738,60,1.0,Semiurban,N
LP000299,Male,Yes,1,Graduate,Yes,34962,12590,71750,300,0.0,Rural,N
LP000300,Male,No,2,Graduate,No,34288,4614,82702,60,1.0,Urban,Y
LP000301,Male,No,0,Not Graduate,No,56470,15165,51415,240,1.0,Urban,N
LP000302,Male,Yes,3+,Graduate,No,14148,5207,145274,84,1.0,Rural,Y
LP000303,Male,Yes,0,Graduate,No,40462,9674,112725,36,1.0,Semiurban,Y
LP000304,Male,Yes,1,Graduate,No,55022,14389,213332,12,1.0,Rural,N
LP000305,Female,Yes,2,Graduate,No,9254,7914,52095,120,1.0,Urban,N
LP000306,Female,No,2,Not Graduate,No,32590,11140,66902,360,1.0,Semiurban,N
LP000307,Male,No,2,Graduate,Yes,19880,5644,90737,84,1.0,Urban,Y
LP000308,Male,No,2,Graduate,No,25618,7061,111663,84,1.0,Urban,N
LP000309,Female,Yes,0,Graduate,Yes,33143,7015,72559,84,1.0,Semiurban,Y
LP000310,Male,Yes,2,Graduate,No,20083,4804,52235,120,1.0,Semiurban,Y
LP000311,Male,No,0,Graduate,No,17936,7159,125580,120,1.0,Rural,Y
LP000312,Male,No,2,Not Graduate,No,27460,2740,115909,300,1.0,Urban,N
LP000313,Male,Yes,1,Graduate,No,14011,5745,51116,120,1.0,Semiurban,N
LP000314,Female,No,2,Graduate,No,14023,6638,159168,120,0.0,Semiurban,Y
LP000315,Female,No,1,Graduate,No,40441,6772,145088,36,1.0,Rural,N
LP000316,Female,Yes,1,Not Graduate,Yes,13503,6842,86435,360,1.0,Urban,N
LP000317,Male,Yes,1,Graduate,No,40126,7760,84103,60,1.0,Urban,Y
LP000318,Male,Yes,2,Not Graduate,No,35509,11334,106620,36,1.0,Urban,N
LP000319,Male,Yes,0,Graduate,No,9552,14945,52530,180,1.0,Semiurban,Y
